expName,subjectId,subjectGender,subjectAge,session,block,blockType,trial,setSize,targetOri,targetPos,distrMean,dtype,dsd,targetDist,t_dist_to_prev_d,answer,rt,correct,prev_correct,blockId,tid
set_size_experiment_1,1,f,27,2,384,prime,1,14,-160,9,-71,uni,15,89,12.51648128,j,748.12513683,1,1,385,963
set_size_experiment_1,1,f,27,2,384,prime,2,14,-141,8,-71,uni,15,70,31.51648128,j,618.920422159,1,1,385,964
set_size_experiment_1,1,f,27,2,384,prime,3,14,-151,10,-71,uni,15,80,21.51648128,j,1323.99250288,1,1,385,965
set_size_experiment_1,1,f,27,2,385,probe,0,36,-46,33,-138,norm,10,88,24.730495946,i,578.118083067,1,1,386,966
set_size_experiment_1,1,f,27,2,385,probe,1,36,-46,1,-150,norm,10,76,24.730495946,j,754.92129568,1,1,386,967
set_size_experiment_1,1,f,27,2,386,prime,0,8,-207,6,-108,uni,15,-81,-56.904309763,j,1014.65687994,1,1,387,968
set_size_experiment_1,1,f,27,2,386,prime,1,8,-199,7,-108,uni,15,-89,-48.904309763,j,525.161503814,1,1,387,969
set_size_experiment_1,1,f,27,2,386,prime,2,8,-178,4,-108,uni,15,70,-27.904309763,j,768.678998575,1,1,387,970
set_size_experiment_1,1,f,27,2,386,prime,3,8,-175,3,-108,uni,15,67,-24.904309763,i,528.142659925,1,1,387,971
set_size_experiment_1,1,f,27,2,387,probe,0,36,-63,35,-142,norm,10,-79,45.605274376,i,1143.88159476,1,1,388,972
set_size_experiment_1,1,f,27,2,388,prime,0,36,90,6,188,norm,15,-81.9999999996,51.35614485,i,596.89155966,1,1,389,973
set_size_experiment_1,1,f,27,2,388,prime,1,36,123,32,188,norm,15,65.0000000004,84.35614485,i,694.628172554,1,1,389,974
set_size_experiment_1,1,f,27,2,388,prime,2,36,114,6,188,norm,15,74.0000000004,75.35614485,j,739.173975773,1,1,389,975
set_size_experiment_1,1,f,27,2,389,probe,0,36,204,26,138,norm,10,-66,16.406290069,j,561.078454368,0,1,390,976
set_size_experiment_1,1,f,27,2,389,probe,1,36,204,20,132,norm,10,-72,16.406290069,j,813.197495416,1,0,390,977
set_size_experiment_1,1,f,27,2,390,prime,0,24,-132,23,-49,norm,15,83,-84.5336467664,i,647.46236708,1,1,391,978
set_size_experiment_1,1,f,27,2,390,prime,1,24,-141,2,-49,norm,15,-88,86.4663532336,i,539.15766906,1,1,391,979
set_size_experiment_1,1,f,27,2,390,prime,2,24,-158,1,-49,norm,15,-71,69.4663532336,j,703.556256369,1,1,391,980
set_size_experiment_1,1,f,27,2,390,prime,3,24,-156,15,-49,norm,15,-73,71.4663532336,i,715.829342604,1,1,391,981
set_size_experiment_1,1,f,27,2,391,probe,0,36,-46,7,-113,norm,10,-67,3.74386913299998,i,680.213931017,1,1,392,982
set_size_experiment_1,1,f,27,2,391,probe,1,36,-46,22,-122,norm,10,-76,3.74386913299998,i,569.813076407,1,1,392,983
set_size_experiment_1,1,f,27,2,392,prime,0,36,-182,25,-76,norm,15,-74,-60.059808232,i,1010.74841525,0,1,393,984
set_size_experiment_1,1,f,27,2,392,prime,1,36,-171,25,-76,norm,15,-85,-49.059808232,i,656.866605394,1,0,393,985
set_size_experiment_1,1,f,27,2,392,prime,2,36,-175,8,-76,norm,15,-81,-53.059808232,j,438.356821425,1,1,393,986
set_size_experiment_1,1,f,27,2,392,prime,3,36,-189,32,-76,norm,15,-67,-67.059808232,i,498.868791386,1,1,393,987
set_size_experiment_1,1,f,27,2,393,probe,0,36,-97,11,-191,norm,10,86,-20.93203173,j,633.145817555,1,1,394,988
set_size_experiment_1,1,f,27,2,394,prime,0,14,39,2,157,norm,15,-61.9999999996,49.173904659,j,1166.64007399,1,1,395,989
set_size_experiment_1,1,f,27,2,394,prime,1,14,75,13,157,norm,15,82.0000000004,85.173904659,j,511.568800546,1,1,395,990
set_size_experiment_1,1,f,27,2,394,prime,2,14,73,0,157,norm,15,84.0000000004,83.173904659,i,584.461933933,1,1,395,991
set_size_experiment_1,1,f,27,2,394,prime,3,14,46,12,157,norm,15,-68.9999999996,56.173904659,i,511.672263034,1,1,395,992
set_size_experiment_1,1,f,27,2,395,probe,0,36,166,33,77,norm,10,-89.0000000002,9.06102981480001,i,1019.27496027,1,1,396,993
set_size_experiment_1,1,f,27,2,396,prime,0,24,50,6,115,norm,15,65,-26.203199686,j,823.000963777,1,1,397,994
set_size_experiment_1,1,f,27,2,396,prime,1,24,25,22,115,norm,15,-90,-51.203199686,j,655.079295859,1,1,397,995
set_size_experiment_1,1,f,27,2,396,prime,2,24,9,8,115,norm,15,-74,-67.203199686,i,640.461592004,1,1,397,996
set_size_experiment_1,1,f,27,2,396,prime,3,24,14,8,115,norm,15,-79,-62.203199686,i,564.458072186,1,1,397,997
set_size_experiment_1,1,f,27,2,397,probe,0,36,154,32,62,norm,10,88.0000000001,38.9532988439,i,522.840732709,1,1,398,998
set_size_experiment_1,1,f,27,2,398,prime,0,24,-66,7,48,norm,15,-66,51.639982451,i,764.184764586,1,1,399,999
set_size_experiment_1,1,f,27,2,398,prime,1,24,-64,21,48,norm,15,-68,53.639982451,i,508.059183136,1,1,399,1000
set_size_experiment_1,1,f,27,2,398,prime,2,24,-61,2,48,norm,15,-71,56.639982451,j,908.610260114,1,1,399,1001
set_size_experiment_1,1,f,27,2,399,probe,0,36,133,33,46,norm,10,-86.9999999996,84.8330832156,j,797.784021124,1,1,400,1002
set_size_experiment_1,1,f,27,2,400,prime,0,36,-15,11,95,norm,15,-70,-60.614734081,j,616.491189227,1,1,401,1003
set_size_experiment_1,1,f,27,2,400,prime,1,36,-11,0,95,norm,15,-74,-56.614734081,i,557.121528313,1,1,401,1004
set_size_experiment_1,1,f,27,2,400,prime,2,36,17,14,95,norm,15,78,-28.614734081,j,672.590848058,1,1,401,1005
set_size_experiment_1,1,f,27,2,400,prime,3,36,-23,9,95,norm,15,-62,-68.614734081,j,498.706483282,1,1,401,1006
set_size_experiment_1,1,f,27,2,401,probe,0,36,184,34,82,norm,10,77.9999999999,88.8771005921,i,508.211875334,1,1,402,1007
set_size_experiment_1,1,f,27,2,402,prime,0,8,-128,3,-44,uni,15,84,-29.596160751,i,1376.75177399,0,1,403,1008
set_size_experiment_1,1,f,27,2,402,prime,1,8,-131,3,-44,uni,15,87,-32.596160751,j,501.251870766,1,0,403,1009
set_size_experiment_1,1,f,27,2,402,prime,2,8,-161,3,-44,uni,15,-63,-62.596160751,j,1182.5800864,1,1,403,1010
set_size_experiment_1,1,f,27,2,403,probe,0,36,-65,30,-160,norm,10,85,-21.642676308,i,493.151864037,1,1,404,1011
set_size_experiment_1,1,f,27,2,404,prime,0,14,-20,12,87,uni,15,-73,-39.536387135,i,676.30662024,1,1,405,1012
set_size_experiment_1,1,f,27,2,404,prime,1,14,21,3,87,uni,15,66,1.46361286500002,i,456.689912826,1,1,405,1013
set_size_experiment_1,1,f,27,2,404,prime,2,14,23,2,87,uni,15,64,3.46361286500002,j,501.623024233,1,1,405,1014
set_size_experiment_1,1,f,27,2,404,prime,3,14,11,11,87,uni,15,76,-8.53638713499998,j,496.557250619,1,1,405,1015
set_size_experiment_1,1,f,27,2,405,probe,0,36,93,16,13,norm,10,-80,5.28530084499999,i,474.813003093,1,1,406,1016
set_size_experiment_1,1,f,27,2,406,prime,0,36,-118,27,-38,uni,15,80,49.801950215,i,640.289668925,1,1,407,1017
set_size_experiment_1,1,f,27,2,406,prime,1,36,-144,14,-38,uni,15,-74,23.801950215,i,1202.82663964,1,1,407,1018
set_size_experiment_1,1,f,27,2,406,prime,2,36,-141,17,-38,uni,15,-77,26.801950215,j,855.504450388,1,1,407,1019
set_size_experiment_1,1,f,27,2,406,prime,3,36,-112,0,-38,uni,15,74,55.801950215,j,826.962505467,1,1,407,1020
set_size_experiment_1,1,f,27,2,407,probe,0,36,-83,20,-143,norm,10,-60,-45.543047076,j,799.537099898,1,1,408,1021
set_size_experiment_1,1,f,27,2,408,prime,0,8,101,2,189,uni,15,88.0000000005,63.916874135,i,526.716505177,1,1,409,1022
set_size_experiment_1,1,f,27,2,408,prime,1,8,125,7,189,uni,15,64.0000000005,87.916874135,j,894.948326983,1,1,409,1023
set_size_experiment_1,1,f,27,2,408,prime,2,8,99,5,189,uni,15,-89.9999999995,61.916874135,i,615.818880498,1,1,409,1024
set_size_experiment_1,1,f,27,2,409,probe,0,36,149,4,32,norm,10,62.9999999999,-40.0424829214,i,680.148545653,1,1,410,1025
set_size_experiment_1,1,f,27,2,410,prime,0,36,-29,3,66,uni,15,-85,-61.152950537,i,631.075431593,1,1,411,1026
set_size_experiment_1,1,f,27,2,410,prime,1,36,-34,28,66,uni,15,-80,-66.152950537,i,695.484327152,1,1,411,1027
set_size_experiment_1,1,f,27,2,410,prime,2,36,-22,20,66,uni,15,88,-54.152950537,i,428.012582473,1,1,411,1028
set_size_experiment_1,1,f,27,2,411,probe,0,36,4,30,-103,norm,10,73,-61.512104065,j,504.128795117,1,1,412,1029
