subjnr;rho;T_present;response;correct;ort1;ort2;ort3;ort4
1;0;0;0;1;9,633472568;5,820869904;-7,306004603;-12,18339023
1;0;1;1;1;-6,17908279;0;19,33803798;-5,586601946
1;0;1;1;1;-20,11258005;-21,74131596;2,659596417;0
1;0;0;1;0;-23,56038988;-34,12706015;-22,68317103;9,42500058
1;0;0;0;1;-20,16321986;27,7832321;19,38174092;-0,973141415
1;0;1;1;1;18,12656461;-4,043548375;0;-21,53825173
1;0;0;0;1;1,77874697;-1,596150623;8,897708311;-31,45343046
1;0;1;0;0;-13,09353896;0;13,00881798;14,54978964
1;0;1;1;1;-3,381598715;5,096979595;0;-16,18948311
1;0;1;1;1;-13,68536091;0;-11,36203318;7,86927049
1;0;0;0;1;7,701533935;3,338051232;11,25926895;-3,509668703
1;0;1;1;1;-6,81061852;-11,45629789;2,60752899;0
1;0;0;0;1;-15,00231912;17,66440605;-18,08622019;-0,214449147
1;0;1;1;1;-31,54829749;23,13504686;0;-9,514176937
1;0;0;1;0;21,37837392;-10,29793786;2,352502268;2,003376663
1;0;1;1;1;8,579831633;8,19237025;0;6,872869675
1;0;0;0;1;23,95480373;3,913955345;-8,672961079;-16,43194406
1;0;0;1;0;-3,391952559;-0,690903027;-10,27846907;-8,916749316
1;0;1;0;0;2,166849948;14,75259047;0;-21,91106667
1;0;0;0;1;-1,040497428;5,26740406;-2,114292205;-4,544775493
1;0;0;1;0;4,445124227;19,1482252;14,30764975;3,702159151
1;0;0;0;1;-2,553423077;-9,647382799;-0,097130023;-2,648326734
1;0;0;0;1;-4,891920342;-1,210927549;-7,3402998;15,70354571
1;0;1;1;1;14,91867015;-19,01841539;0;36,17275875
1;0;0;1;0;-1,544753781;-16,30585601;9,823819344;-27,83517677
1;0;0;0;1;4,471665164;8,564891803;22,67785116;-15,80375317
1;0;1;0;0;15,73297348;25,71246161;-29,48317117;0
1;0;0;0;1;-7,779908048;7,625113392;5,67133191;-6,747856768
