manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,Rec2Type,RecRT2,Rec2,couleur,Prime,CordCible,CordPrime,Yes/No,AV/AP,Diff,PostTest,RECORDING_SESSION_LABEL,AVERAGE_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,BLINK_COUNT,BUTTON_PRESS_COUNT,FIXATION_COUNT,IP_DURATION,SACCADE_COUNT,V48,V49,training,task,trialId
vs12,am,4,2,08Feb2013,1055,mixed,500,400,2000,7,6,2.50657935985,1,L,4,a,1,347,,,,,,,,,C,925,7,Rouge,0,4,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,66
vs12,am,4,2,08Feb2013,1038,mixed,500,400,2000,3,15,5.05045474714,1,L,8,z,1,1012,,,,,,,,,A,1011,0,Vert,0,6,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,67
vs12,am,4,2,08Feb2013,1059,mixed,500,400,2000,8,2,0.147122866939,0,X,16,z,1,391,,,,,,,,,C,658,6,Vert,0,12,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,68
vs12,am,4,2,08Feb2013,1037,mixed,500,400,2000,3,9,3.16710926275,1,L,4,a,1,839,,,,,,,,,A,863,1,Rouge,0,3,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,69
vs12,am,4,2,08Feb2013,1041,mixed,500,400,2000,4,2,5.52659771922,1,X,8,z,1,361,,,,,,,,,A,1106,1,Vert,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,70
vs12,am,4,2,08Feb2013,1025,Ent2,500,400,2000,1,4,5.48708785631,0,X,8,z,1,946,,,,,,,,,A,2895,3,Vert,0,3,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,71
vs12,am,4,2,08Feb2013,1041,mixed,500,400,2000,4,4,0.272134568219,1,X,8,z,1,380,,,,,,,,,A,2230,1,Vert,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,72
vs12,am,4,2,08Feb2013,1040,mixed,500,400,2000,3,35,5.52597658171,0,X,8,z,1,410,,,,,,,,,A,1253,3,Vert,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,73
vs12,am,4,2,08Feb2013,1051,mixed,500,400,2000,6,15,3.5146509242,1,X,8,a,1,345,,,,,,,,,A,1146,1,Rouge,0,6,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,74
vs12,am,4,2,08Feb2013,1028,mixed,500,400,2000,1,6,5.50886639355,1,L,8,z,1,452,,,,,,,,,A,2406,2,Vert,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,75
